1.795	 -0.07629  1.04695
1.800	 -0.07657  1.04812
1.805	 -0.07686  1.04929
1.810	 -0.07714  1.05047
1.815	 -0.07742  1.05164
1.820	 -0.07771  1.05282
1.825	 -0.07799  1.05400
1.830	 -0.07827  1.05518
1.835	 -0.07855  1.05636
1.840	 -0.07883  1.05754
1.845	 -0.07911  1.05872
1.850	 -0.07939  1.05990
1.855	 -0.07968  1.06108
1.860	 -0.07995  1.06227
1.865	 -0.08023  1.06345
1.870	 -0.08051  1.06464
1.875	 -0.08079  1.06583
1.880	 -0.08107  1.06702
1.885	 -0.08135  1.06820
1.890	 -0.08162  1.06939
1.895	 -0.08190  1.07059
1.900	 -0.08218  1.07178
1.905	 -0.08245  1.07297
1.910	 -0.08273  1.07416
1.915	 -0.08300  1.07536
1.920	 -0.08328  1.07655
1.925	 -0.08355  1.07775
1.930	 -0.08383  1.07894
1.935	 -0.08410  1.08014
1.940	 -0.08437  1.08134
1.945	 -0.08465  1.08254
1.950	 -0.08492  1.08374
1.955	 -0.08519  1.08494
1.960	 -0.08546  1.08614
1.965	 -0.08573  1.08734
1.970	 -0.08600  1.08855
1.975	 -0.08627  1.08975
1.980	 -0.08654  1.09096
1.985	 -0.08681  1.09216
1.990	 -0.08707  1.09337
1.995	 -0.08734  1.09457
2.000	 -0.08761  1.09578
2.005	 -0.08787  1.09699
2.010	 -0.08814  1.09820
2.015	 -0.08841  1.09941
2.020	 -0.08867  1.10062
2.025	 -0.08893  1.10183
2.030	 -0.08920  1.10304
2.035	 -0.08946  1.10425
2.040	 -0.08972  1.10546
2.045	 -0.08998  1.10668
2.050	 -0.09025  1.10789
2.055	 -0.09051  1.10910
2.060	 -0.09077  1.11032
2.065	 -0.09103  1.11154
2.070	 -0.09128  1.11275
2.075	 -0.09154  1.11397
2.080	 -0.09180  1.11519
2.085	 -0.09206  1.11640
2.090	 -0.09231  1.11762
2.095	 -0.09257  1.11884
2.100	 -0.09283  1.12006
2.105	 -0.09308  1.12128
2.110	 -0.09333  1.12250
2.115	 -0.09359  1.12372
2.120	 -0.09384  1.12495
2.125	 -0.09409  1.12617
2.130	 -0.09434  1.12739
2.135	 -0.09459  1.12862
2.140	 -0.09484  1.12984
2.145	 -0.09509  1.13106
2.150	 -0.09534  1.13229
2.155	 -0.09559  1.13351
2.160	 -0.09584  1.13474
2.165	 -0.09609  1.13597
